Subject	Pair	Vowel	V	Length	Trial	Response	PrelimTotalF	SPETotalF	PrelimFrisch	SPEFrisch	LuceD
BU78I	"mad,badge"	ae	a	long	30	6	3	4	0.281	0.749	2.205685268
BW95G	"mad,badge"	ae	a	long	9	2	3	4	0.281	0.749	2.205685268
CK44O	"mad,badge"	ae	a	long	94	5	3	4	0.281	0.749	2.205685268
CM34Z	"mad,badge"	ae	a	long	43	1	3	4	0.281	0.749	2.205685268
DF61Q	"mad,badge"	ae	a	long	86	4	3	4	0.281	0.749	2.205685268
DR17G	"mad,badge"	ae	a	long	43	4	3	4	0.281	0.749	2.205685268
EK1N	"mad,badge"	ae	a	long	39	5	3	4	0.281	0.749	2.205685268
ES29S	"mad,badge"	ae	a	long	96	4	3	4	0.281	0.749	2.205685268
FJ83B	"mad,badge"	ae	a	long	49	5	3	4	0.281	0.749	2.205685268
FU75W	"mad,badge"	ae	a	long	29	3	3	4	0.281	0.749	2.205685268
FV16X	"mad,badge"	ae	a	long	92	1	3	4	0.281	0.749	2.205685268
IF59C	"mad,badge"	ae	a	long	39	3	3	4	0.281	0.749	2.205685268
JD94A	"mad,badge"	ae	a	long	63	2	3	4	0.281	0.749	2.205685268
JE33O	"mad,badge"	ae	a	long	9	6	3	4	0.281	0.749	2.205685268
JV42B	"mad,badge"	ae	a	long	42	4	3	4	0.281	0.749	2.205685268
JY36H	"mad,badge"	ae	a	long	50	1	3	4	0.281	0.749	2.205685268
KB4F	"mad,badge"	ae	a	long	50	1	3	4	0.281	0.749	2.205685268
KI71L	"mad,badge"	ae	a	long	37	4	3	4	0.281	0.749	2.205685268
KK92R	"mad,badge"	ae	a	long	32	6	3	4	0.281	0.749	2.205685268
KQ37E	"mad,badge"	ae	a	long	71	4	3	4	0.281	0.749	2.205685268
KQ52J	"mad,badge"	ae	a	long	77	6	3	4	0.281	0.749	2.205685268
KR28H	"mad,badge"	ae	a	long	11	6	3	4	0.281	0.749	2.205685268
KS15D	"mad,badge"	ae	a	long	71	1	3	4	0.281	0.749	2.205685268
LC70W	"mad,badge"	ae	a	long	38	1	3	4	0.281	0.749	2.205685268
LQ40Z	"mad,badge"	ae	a	long	55	5	3	4	0.281	0.749	2.205685268
LT30W	"mad,badge"	ae	a	long	17	4	3	4	0.281	0.749	2.205685268
LY2O	"mad,badge"	ae	a	long	71	5	3	4	0.281	0.749	2.205685268
LY53Q	"mad,badge"	ae	a	long	88	3	3	4	0.281	0.749	2.205685268
LZ43Z	"mad,badge"	ae	a	long	34	4	3	4	0.281	0.749	2.205685268
MC41U	"mad,badge"	ae	a	long	47	4	3	4	0.281	0.749	2.205685268
MO73Z	"mad,badge"	ae	a	long	95	4	3	4	0.281	0.749	2.205685268
NX13O	"mad,badge"	ae	a	long	17	3	3	4	0.281	0.749	2.205685268
NZ20B	"mad,badge"	ae	a	long	72	6	3	4	0.281	0.749	2.205685268
OG60T	"mad,badge"	ae	a	long	91	1	3	4	0.281	0.749	2.205685268
ON3K	"mad,badge"	ae	a	long	31	4	3	4	0.281	0.749	2.205685268
ON74R	"mad,badge"	ae	a	long	36	5	3	4	0.281	0.749	2.205685268
OQ69Y	"mad,badge"	ae	a	long	9	4	3	4	0.281	0.749	2.205685268
OR11R	"mad,badge"	ae	a	long	36	4	3	4	0.281	0.749	2.205685268
OS26T	"mad,badge"	ae	a	long	19	6	3	4	0.281	0.749	2.205685268
PE14D	"mad,badge"	ae	a	long	18	5	3	4	0.281	0.749	2.205685268
PQ27D	"mad,badge"	ae	a	long	43	6	3	4	0.281	0.749	2.205685268
PW18G	"mad,badge"	ae	a	long	71	1	3	4	0.281	0.749	2.205685268
PX84R	"mad,badge"	ae	a	long	83	6	3	4	0.281	0.749	2.205685268
QR21P	"mad,badge"	ae	a	long	90	4	3	4	0.281	0.749	2.205685268
QW31L	"mad,badge"	ae	a	long	56	2	3	4	0.281	0.749	2.205685268
RB39H	"mad,badge"	ae	a	long	52	4	3	4	0.281	0.749	2.205685268
RL68G	"mad,badge"	ae	a	long	67	5	3	4	0.281	0.749	2.205685268
SG77E	"mad,badge"	ae	a	long	63	2	3	4	0.281	0.749	2.205685268
SK19G	"mad,badge"	ae	a	long	30	3	3	4	0.281	0.749	2.205685268
SK66K	"mad,badge"	ae	a	long	33	3	3	4	0.281	0.749	2.205685268
SQ87Z	"mad,badge"	ae	a	long	30	2	3	4	0.281	0.749	2.205685268
ST99W	"mad,badge"	ae	a	long	71	1	3	4	0.281	0.749	2.205685268
TE72Y	"mad,badge"	ae	a	long	55	2	3	4	0.281	0.749	2.205685268
TG10Q	"mad,badge"	ae	a	long	81	2	3	4	0.281	0.749	2.205685268
TK67C	"mad,badge"	ae	a	long	9	3	3	4	0.281	0.749	2.205685268
WT24N	"mad,badge"	ae	a	long	19	1	3	4	0.281	0.749	2.205685268
XC35E	"mad,badge"	ae	a	long	18	4	3	4	0.281	0.749	2.205685268
XG23P	"mad,badge"	ae	a	long	25	5	3	4	0.281	0.749	2.205685268
XL12Q	"mad,badge"	ae	a	long	37	5	3	4	0.281	0.749	2.205685268
XQ79R	"mad,badge"	ae	a	long	15	2	3	4	0.281	0.749	2.205685268
XS38P	"mad,badge"	ae	a	long	80	1	3	4	0.281	0.749	2.205685268
XS96W	"mad,badge"	ae	a	long	14	4	3	4	0.281	0.749	2.205685268
YD48I	"mad,badge"	ae	a	long	43	5	3	4	0.281	0.749	2.205685268
YK76J	"mad,badge"	ae	a	long	12	4	3	4	0.281	0.749	2.205685268
YN47M	"mad,badge"	ae	a	long	31	6	3	4	0.281	0.749	2.205685268
YU22I	"mad,badge"	ae	a	long	10	5	3	4	0.281	0.749	2.205685268
ZZ5V	"mad,badge"	ae	a	long	94	5	3	4	0.281	0.749	2.205685268
AM25Y	"graph,flag"	ae	a	long	19	1	5	6	0.135	0.176	3.959050674
AR82M	"graph,flag"	ae	a	long	93	2	5	6	0.135	0.176	3.959050674
AY9B	"graph,flag"	ae	a	long	12	4	5	6	0.135	0.176	3.959050674
BA89W	"graph,flag"	ae	a	long	77	3	5	6	0.135	0.176	3.959050674
BS90M	"graph,flag"	ae	a	long	37	1	5	6	0.135	0.176	3.959050674
BU78I	"graph,flag"	ae	a	long	60	3	5	6	0.135	0.176	3.959050674
BW95G	"graph,flag"	ae	a	long	79	2	5	6	0.135	0.176	3.959050674
CK44O	"graph,flag"	ae	a	long	73	1	5	6	0.135	0.176	3.959050674
CM34Z	"graph,flag"	ae	a	long	6	3	5	6	0.135	0.176	3.959050674
DF61Q	"graph,flag"	ae	a	long	60	3	5	6	0.135	0.176	3.959050674
DR17G	"graph,flag"	ae	a	long	46	4	5	6	0.135	0.176	3.959050674
EK1N	"graph,flag"	ae	a	long	68	3	5	6	0.135	0.176	3.959050674
ES29S	"graph,flag"	ae	a	long	19	1	5	6	0.135	0.176	3.959050674
FJ83B	"graph,flag"	ae	a	long	55	6	5	6	0.135	0.176	3.959050674
FU75W	"graph,flag"	ae	a	long	13	3	5	6	0.135	0.176	3.959050674
FV16X	"graph,flag"	ae	a	long	62	1	5	6	0.135	0.176	3.959050674
IF59C	"graph,flag"	ae	a	long	46	1	5	6	0.135	0.176	3.959050674
JD94A	"graph,flag"	ae	a	long	65	2	5	6	0.135	0.176	3.959050674
JE33O	"graph,flag"	ae	a	long	79	2	5	6	0.135	0.176	3.959050674
JV42B	"graph,flag"	ae	a	long	46	1	5	6	0.135	0.176	3.959050674
JY36H	"graph,flag"	ae	a	long	83	1	5	6	0.135	0.176	3.959050674
KB4F	"graph,flag"	ae	a	long	85	2	5	6	0.135	0.176	3.959050674
KI71L	"graph,flag"	ae	a	long	70	2	5	6	0.135	0.176	3.959050674
KK92R	"graph,flag"	ae	a	long	50	1	5	6	0.135	0.176	3.959050674
KQ37E	"graph,flag"	ae	a	long	47	2	5	6	0.135	0.176	3.959050674
KQ52J	"graph,flag"	ae	a	long	46	1	5	6	0.135	0.176	3.959050674
KR28H	"graph,flag"	ae	a	long	44	5	5	6	0.135	0.176	3.959050674
KS15D	"graph,flag"	ae	a	long	33	1	5	6	0.135	0.176	3.959050674
LC70W	"graph,flag"	ae	a	long	6	2	5	6	0.135	0.176	3.959050674
LQ40Z	"graph,flag"	ae	a	long	63	1	5	6	0.135	0.176	3.959050674
LT30W	"graph,flag"	ae	a	long	79	4	5	6	0.135	0.176	3.959050674
LY2O	"graph,flag"	ae	a	long	92	3	5	6	0.135	0.176	3.959050674
LY53Q	"graph,flag"	ae	a	long	22	4	5	6	0.135	0.176	3.959050674
LZ43Z	"graph,flag"	ae	a	long	28	2	5	6	0.135	0.176	3.959050674
MC41U	"graph,flag"	ae	a	long	77	4	5	6	0.135	0.176	3.959050674
MO73Z	"graph,flag"	ae	a	long	78	1	5	6	0.135	0.176	3.959050674
NX13O	"graph,flag"	ae	a	long	25	1	5	6	0.135	0.176	3.959050674
NZ20B	"graph,flag"	ae	a	long	19	5	5	6	0.135	0.176	3.959050674
OG60T	"graph,flag"	ae	a	long	8	1	5	6	0.135	0.176	3.959050674
ON3K	"graph,flag"	ae	a	long	67	1	5	6	0.135	0.176	3.959050674
ON74R	"graph,flag"	ae	a	long	39	5	5	6	0.135	0.176	3.959050674
OQ69Y	"graph,flag"	ae	a	long	7	2	5	6	0.135	0.176	3.959050674
OR11R	"graph,flag"	ae	a	long	39	1	5	6	0.135	0.176	3.959050674
OS26T	"graph,flag"	ae	a	long	81	1	5	6	0.135	0.176	3.959050674
PE14D	"graph,flag"	ae	a	long	51	2	5	6	0.135	0.176	3.959050674
PQ27D	"graph,flag"	ae	a	long	57	2	5	6	0.135	0.176	3.959050674
PW18G	"graph,flag"	ae	a	long	16	2	5	6	0.135	0.176	3.959050674
PX84R	"graph,flag"	ae	a	long	76	3	5	6	0.135	0.176	3.959050674
QR21P	"graph,flag"	ae	a	long	43	1	5	6	0.135	0.176	3.959050674
QW31L	"graph,flag"	ae	a	long	89	2	5	6	0.135	0.176	3.959050674
RB39H	"graph,flag"	ae	a	long	24	1	5	6	0.135	0.176	3.959050674
RL68G	"graph,flag"	ae	a	long	33	1	5	6	0.135	0.176	3.959050674
SG77E	"graph,flag"	ae	a	long	84	1	5	6	0.135	0.176	3.959050674
SK19G	"graph,flag"	ae	a	long	45	2	5	6	0.135	0.176	3.959050674
SK66K	"graph,flag"	ae	a	long	88	2	5	6	0.135	0.176	3.959050674
SQ87Z	"graph,flag"	ae	a	long	74	1	5	6	0.135	0.176	3.959050674
ST99W	"graph,flag"	ae	a	long	32	1	5	6	0.135	0.176	3.959050674
TE72Y	"graph,flag"	ae	a	long	71	1	5	6	0.135	0.176	3.959050674
TG10Q	"graph,flag"	ae	a	long	78	1	5	6	0.135	0.176	3.959050674
TK67C	"graph,flag"	ae	a	long	26	1	5	6	0.135	0.176	3.959050674
WT24N	"graph,flag"	ae	a	long	95	1	5	6	0.135	0.176	3.959050674
XC35E	"graph,flag"	ae	a	long	28	5	5	6	0.135	0.176	3.959050674
XG23P	"graph,flag"	ae	a	long	69	1	5	6	0.135	0.176	3.959050674
XL12Q	"graph,flag"	ae	a	long	86	1	5	6	0.135	0.176	3.959050674
XQ79R	"graph,flag"	ae	a	long	6	1	5	6	0.135	0.176	3.959050674
XS38P	"graph,flag"	ae	a	long	40	1	5	6	0.135	0.176	3.959050674
XS96W	"graph,flag"	ae	a	long	12	1	5	6	0.135	0.176	3.959050674
YD48I	"graph,flag"	ae	a	long	51	4	5	6	0.135	0.176	3.959050674
YK76J	"graph,flag"	ae	a	long	86	3	5	6	0.135	0.176	3.959050674
YN47M	"graph,flag"	ae	a	long	66	4	5	6	0.135	0.176	3.959050674
YU22I	"graph,flag"	ae	a	long	28	2	5	6	0.135	0.176	3.959050674
ZZ5V	"graph,flag"	ae	a	long	34	2	5	6	0.135	0.176	3.959050674
AM25Y	"graph,brat"	ae	a	long	34	1	2	5	0.314	0.206	3.036162053
AR82M	"graph,brat"	ae	a	long	90	2	2	5	0.314	0.206	3.036162053
AY9B	"graph,brat"	ae	a	long	27	4	2	5	0.314	0.206	3.036162053
BA89W	"graph,brat"	ae	a	long	30	3	2	5	0.314	0.206	3.036162053
BS90M	"graph,brat"	ae	a	long	14	1	2	5	0.314	0.206	3.036162053
BU78I	"graph,brat"	ae	a	long	7	3	2	5	0.314	0.206	3.036162053
BW95G	"graph,brat"	ae	a	long	93	1	2	5	0.314	0.206	3.036162053
CK44O	"graph,brat"	ae	a	long	86	5	2	5	0.314	0.206	3.036162053
CM34Z	"graph,brat"	ae	a	long	60	1	2	5	0.314	0.206	3.036162053
DF61Q	"graph,brat"	ae	a	long	16	3	2	5	0.314	0.206	3.036162053
DR17G	"graph,brat"	ae	a	long	19	6	2	5	0.314	0.206	3.036162053
EK1N	"graph,brat"	ae	a	long	84	1	2	5	0.314	0.206	3.036162053
ES29S	"graph,brat"	ae	a	long	20	3	2	5	0.314	0.206	3.036162053
FJ83B	"graph,brat"	ae	a	long	79	5	2	5	0.314	0.206	3.036162053
FU75W	"graph,brat"	ae	a	long	15	3	2	5	0.314	0.206	3.036162053
FV16X	"graph,brat"	ae	a	long	75	2	2	5	0.314	0.206	3.036162053
IF59C	"graph,brat"	ae	a	long	86	2	2	5	0.314	0.206	3.036162053
JD94A	"graph,brat"	ae	a	long	34	3	2	5	0.314	0.206	3.036162053
JE33O	"graph,brat"	ae	a	long	13	1	2	5	0.314	0.206	3.036162053
JV42B	"graph,brat"	ae	a	long	62	3	2	5	0.314	0.206	3.036162053
JY36H	"graph,brat"	ae	a	long	18	5	2	5	0.314	0.206	3.036162053
KB4F	"graph,brat"	ae	a	long	89	1	2	5	0.314	0.206	3.036162053
KI71L	"graph,brat"	ae	a	long	95	1	2	5	0.314	0.206	3.036162053
KK92R	"graph,brat"	ae	a	long	58	6	2	5	0.314	0.206	3.036162053
KQ37E	"graph,brat"	ae	a	long	60	3	2	5	0.314	0.206	3.036162053
KQ52J	"graph,brat"	ae	a	long	43	4	2	5	0.314	0.206	3.036162053
KR28H	"graph,brat"	ae	a	long	27	6	2	5	0.314	0.206	3.036162053
KS15D	"graph,brat"	ae	a	long	58	1	2	5	0.314	0.206	3.036162053
LC70W	"graph,brat"	ae	a	long	20	1	2	5	0.314	0.206	3.036162053
LQ40Z	"graph,brat"	ae	a	long	65	3	2	5	0.314	0.206	3.036162053
LT30W	"graph,brat"	ae	a	long	72	1	2	5	0.314	0.206	3.036162053
LY2O	"graph,brat"	ae	a	long	86	3	2	5	0.314	0.206	3.036162053
LY53Q	"graph,brat"	ae	a	long	8	4	2	5	0.314	0.206	3.036162053
LZ43Z	"graph,brat"	ae	a	long	81	2	2	5	0.314	0.206	3.036162053
MC41U	"graph,brat"	ae	a	long	70	2	2	5	0.314	0.206	3.036162053
MO73Z	"graph,brat"	ae	a	long	60	3	2	5	0.314	0.206	3.036162053
NX13O	"graph,brat"	ae	a	long	30	1	2	5	0.314	0.206	3.036162053
NZ20B	"graph,brat"	ae	a	long	56	6	2	5	0.314	0.206	3.036162053
OG60T	"graph,brat"	ae	a	long	12	1	2	5	0.314	0.206	3.036162053
ON3K	"graph,brat"	ae	a	long	40	1	2	5	0.314	0.206	3.036162053
ON74R	"graph,brat"	ae	a	long	59	5	2	5	0.314	0.206	3.036162053
OQ69Y	"graph,brat"	ae	a	long	53	3	2	5	0.314	0.206	3.036162053
OR11R	"graph,brat"	ae	a	long	17	3	2	5	0.314	0.206	3.036162053
